lat,lon
-37.80133946,144.9621921
-37.79681596,144.9661988
-37.79759055,144.9643224
-37.79909676,144.9640555
-37.80228206,144.9665434
-37.80591731,144.9582464
-37.80367696,144.9526649
-37.80212626,144.9602808
-37.82010463,144.9500586
-37.81879567,144.9477922
-37.82001538,144.9438857
-37.80277083,144.9670948
-37.82082665,144.9416544
-37.82039521,144.9440707
-37.8140665,144.9393925
-37.80742345,144.9427393
-37.80731241,144.9426407
-37.80730532,144.9471292
-37.80603532,144.9651318
-37.81772036,144.9673716
-37.79359479,144.9713296
-37.79879428,144.9694134
-37.81247697,144.9705961
-37.81269965,144.9707057
-37.81067331,144.9848816
-37.81571954,144.9378081
-37.80835691,144.9472642
-37.79955838,144.9507935
-37.81145032,144.9592271
-37.8174023,144.9595903
-37.81793906,144.9499467
-37.7945117,144.9554128
-37.79519988,144.9550729
-37.82153006,144.944577
-37.79572479,144.9520997
-37.80909305,144.9611379
-37.81345808,144.9435086
-37.8173634,144.9604449
-37.81506575,144.9392858
-37.80334437,144.9663658
-37.84130125,144.9849446
-37.79114473,144.9227537
-37.78840644,144.9237667
-37.79320726,144.9714382
-37.79323692,144.9714337
-37.79646214,144.9740923
-37.80201023,144.9477876
-37.81287365,144.962397
-37.80129195,144.9621858
-37.808924,144.9759215
-37.79328567,144.9703927
-37.79542554,144.9429595
-37.81875975,144.9498638
-37.82113741,144.9429457
-37.79555021,144.974379
-37.82105541,144.9435391
-37.79752479,144.9342465
-37.80178689,144.9499905
-37.8239507,144.9607355
-37.80004169,144.9559428
-37.80055841,144.9557551
-37.79464008,144.9420775
-37.81508755,144.9834394
-37.81542376,144.9874889
-37.8154688,144.9877354
-37.8145034,144.9541633
-37.81875737,144.9555779
-37.81888215,144.9595352
-37.79829896,144.9645882
-37.82378453,144.9419358
-37.81220726,144.9362004
-37.82198725,144.9356726
-37.81549476,144.9870663
-37.81583792,144.9650565
-37.81501161,144.9636374
-37.81502335,144.9636441
-37.81009232,144.9668321
-37.81573433,144.9660813
-37.82015226,144.9430597
-37.81315514,144.966628
-37.81567326,144.9542018
-37.81301615,144.9712919
